,"Germany","France","Italy","Netherlands","Belgium","Luxembourg","United Kingdom","Ireland","Denmark","Spain","Greece","Portugal","United States of America","Mexico","Canada","Republic of Korea","Japan","Australia","Norway","New Zealand","Sweden","Finland","Iceland","Switzerland","Austria","Turkey","Czech Republic","Hungary","Poland"
1970,0.557,2.477,4,0.868,1.913,,2.397,5.594,1.36,2.682,4.159,3.832,4.985,,5.751,4.423,1.203,1.633,1.413,0.14,1.502,1.889,1.332,0.003,1.446,6.264,,,
1971,0.689,2.712,4.001,1.213,1.848,,3.036,5.286,1.724,3.21,3.143,2.14,5.952,,6.223,4.449,1.227,1.893,1.39,0.261,2.552,2.241,0.581,0.003,1.175,6.624,,,
1972,0.912,2.806,4.711,2.114,2.35,,3.059,5.923,1.688,3.175,2.107,2.14,5.604,,6.251,4.473,1.411,2.591,1.665,0.481,2.695,2.55,0.454,0.003,1.049,6.169,,,
1973,1,2.69,4.691,2.151,2.408,,2.071,5.444,1.1,2.8,1.966,2.156,4.876,,5.575,3.925,1.255,2.258,1.541,0.191,2.452,2.325,0.442,0.002,0.973,6.626,,,
1974,2.132,2.853,3.942,2.624,2.523,0.067,2.218,5.133,2.449,3.007,2.054,1.915,5.625,,5.372,4.025,1.379,2.666,1.433,0.076,1.976,1.741,0.427,0.006,1.105,7.166,,,
1975,3.965,4.028,4.312,3.772,4.522,0.2,3.617,6.989,5.561,4.074,2.291,3.543,8.467,,6.958,4.109,1.878,4.864,2.247,0.321,1.632,2.227,0.524,0.281,1.703,7.445,,,
1976,3.934,4.406,4.925,4.067,5.934,0.332,4.844,8.652,5.571,4.596,1.91,5.755,7.694,,7.161,3.865,2.003,4.732,1.777,0.407,1.596,3.864,0.506,0.572,1.687,8.765,,,
1977,3.822,4.938,5.261,3.916,6.745,0.531,5.157,8.514,6.66,5.154,1.688,7.138,7.038,,8.124,3.785,2.014,5.602,1.451,0.564,1.782,5.883,0.303,0.332,1.55,9.84,,,
1978,3.661,5.191,5.313,3.827,7.321,0.797,5.009,7.886,7.547,6.959,1.828,7.916,6.052,,8.373,3.155,2.237,6.349,1.806,1.653,2.229,7.269,0.393,0.289,1.766,9.896,,,
1979,3.192,5.833,5.658,3.648,7.581,0.725,4.537,6.87,6.356,8.042,1.896,8.172,5.845,,7.457,3.818,2.085,6.084,1.946,1.793,2.062,5.958,0.389,0.285,1.708,8.685,,,
1980,3.19,6.246,5.574,4.015,8.029,0.721,6.098,7.025,7.152,10.878,2.753,7.955,7.171,4.68,7.493,5.183,2.015,6.002,1.661,2.534,1.973,4.668,0.282,0.173,1.599,8.112,,,
1981,4.505,7.396,6.269,5.818,10.279,1.042,9.053,9.546,9.323,13.752,4.049,7.65,7.616,4.2,7.573,4.495,2.208,5.704,2.002,3.314,2.478,4.884,0.359,0.163,2.071,7.135,,,
1982,6.441,8.041,6.918,8.519,12.03,1.302,10.427,11.012,9.918,15.863,5.784,7.499,9.719,4.213,11.063,4.351,2.355,7.087,2.657,3.563,3.137,5.375,0.697,0.365,3.152,7.018,,,
1983,7.921,8.253,7.694,10.987,13.319,1.63,11.25,13.515,10.532,17.664,7.86,7.861,9.589,6.055,11.9,4.055,2.655,9.868,3.43,5.238,3.456,5.441,1.034,0.773,3.832,7.723,,,
1984,7.932,9.66,8.504,10.604,13.363,1.75,11.398,15.002,10.09,19.624,8.144,8.558,7.513,5.573,11.295,3.787,2.717,8.863,3.16,4.456,3.105,5.198,1.27,0.971,3.924,7.614,,,
1985,8.002,10.234,8.611,9.191,12.442,1.688,11.6,16.778,9.018,20.94,7.811,8.674,7.2,4.361,10.523,3.989,2.624,8.109,2.576,3.512,2.85,5.027,0.902,0.838,4.174,7.138,,,
1986,7.661,10.373,9.896,8.394,11.792,1.478,11.759,17.129,7.757,20.514,7.382,8.603,6.996,4.295,9.59,3.791,2.769,8.016,1.971,3.979,2.493,5.382,0.638,0.71,4.513,7.924,,,
1987,7.611,10.479,10.248,7.982,11.461,1.71,10.233,16.916,7.72,19.989,7.364,7.116,6.186,3.871,8.841,3.076,2.841,8.027,2.088,4.067,2.13,5.101,0.454,0.681,4.868,8.344,,,
1988,7.598,9.975,10.451,7.785,10.422,1.564,7.83,16.34,8.443,18.962,7.675,5.784,5.504,3.542,7.77,2.514,2.519,7.061,3.227,5.587,1.743,4.539,0.621,0.614,4.676,8.446,,,
1989,6.863,9.348,10.214,6.917,9.377,1.42,6.101,15.061,9.164,16.736,7.462,5.059,5.267,2.919,7.507,2.569,2.258,6.093,4.913,7.116,1.483,3.471,1.658,0.482,4.348,8.575,,,
1990,6.203,8.866,9.127,5.965,8.816,1.28,5.86,12.942,9.442,15.702,7.025,4.693,5.61,2.734,8.15,2.449,2.099,6.963,5.223,7.767,1.649,3.45,1.773,0.501,4.723,8,,,3.604
1991,6.653,9.439,8.593,5.469,9.399,1.381,8.212,14.656,10.257,15.794,7.677,4.135,6.838,2.634,10.364,2.289,2.098,9.466,5.484,10.272,2.958,7.616,1.5,1.083,5.151,7.861,,4.024,9.583
1992,7.672,10.358,8.835,5.401,10.387,1.615,10.209,15.068,11.028,17.864,8.651,4.15,7.503,2.834,11.334,2.394,2.162,10.725,5.924,10.32,5.269,13.117,3.048,2.549,5.29,8.047,,9.941,13.274
1993,8.849,11.704,10.239,6.546,12.098,2.091,10.318,15.689,12.103,22.217,9.665,5.549,6.91,3.436,11.244,2.777,2.504,10.915,5.969,9.513,8.232,17.856,4.388,4.504,6.059,7.704,3.558,12.098,14.011
